traffic_pattern,ca2,cs2,rho,T_q_est_ms,T_q_obs_ms,MAE_ms,MAPE_pct,util_bin
On-Off,4.0,1.0,0.48002,889.21,587.83,301.39,33.89,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.48668,913.25,519.95,393.3,43.07,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.49947,961.23,649.1,312.13,32.47,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.50189,970.55,1045.89,75.35,7.76,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.51563,1025.42,725.77,299.65,29.22,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.52106,1047.95,656.46,391.49,37.36,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.54378,1148.14,1319.64,171.5,14.94,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.5521,1187.34,795.47,391.86,33.0,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.57371,1296.35,1138.02,158.32,12.21,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.57733,1315.72,1033.55,282.16,21.45,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.58047,1332.76,783.56,549.2,41.21,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.58487,1357.13,816.38,540.75,39.85,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.58722,1370.33,940.52,429.81,31.37,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.59141,1394.24,1471.05,76.81,5.51,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.5924,1399.95,1408.8,8.85,0.63,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.60099,1450.87,967.19,483.68,33.34,High (ρ≥0.6)
On-Off,4.0,1.0,0.61144,1515.78,1183.17,332.61,21.94,High (ρ≥0.6)
On-Off,4.0,1.0,0.61333,1527.88,966.02,561.86,36.77,High (ρ≥0.6)
On-Off,4.0,1.0,0.61342,1528.47,1334.48,193.98,12.69,High (ρ≥0.6)
On-Off,4.0,1.0,0.62086,1577.34,961.84,615.5,39.02,High (ρ≥0.6)
On-Off,4.0,1.0,0.62537,1607.93,1909.25,301.32,18.74,High (ρ≥0.6)
On-Off,4.0,1.0,0.63577,1681.36,961.8,719.56,42.8,High (ρ≥0.6)
On-Off,4.0,1.0,0.64884,1779.82,1655.23,124.59,7.0,High (ρ≥0.6)
On-Off,4.0,1.0,0.65057,1793.37,1339.82,453.55,25.29,High (ρ≥0.6)
On-Off,4.0,1.0,0.65598,1836.71,1654.18,182.52,9.94,High (ρ≥0.6)
On-Off,4.0,1.0,0.65853,1857.67,1635.59,222.08,11.95,High (ρ≥0.6)
On-Off,4.0,1.0,0.65956,1866.19,1558.68,307.52,16.48,High (ρ≥0.6)
On-Off,4.0,1.0,0.66422,1905.41,1537.78,367.62,19.29,High (ρ≥0.6)
On-Off,4.0,1.0,0.66452,1908.04,1480.0,428.04,22.43,High (ρ≥0.6)
On-Off,4.0,1.0,0.66996,1955.35,2285.49,330.14,16.88,High (ρ≥0.6)
On-Off,4.0,1.0,0.685,2094.67,1579.4,515.27,24.6,High (ρ≥0.6)
On-Off,4.0,1.0,0.69769,2223.0,1368.95,854.05,38.42,High (ρ≥0.6)
On-Off,4.0,1.0,0.71219,2383.62,2557.52,173.9,7.3,High (ρ≥0.6)
On-Off,4.0,1.0,0.71476,2413.73,1728.6,685.13,28.38,High (ρ≥0.6)
On-Off,4.0,1.0,0.72723,2568.17,1779.75,788.42,30.7,High (ρ≥0.6)
On-Off,4.0,1.0,0.73122,2620.55,2512.88,107.67,4.11,High (ρ≥0.6)
On-Off,4.0,1.0,0.73133,2621.99,1710.75,911.24,34.75,High (ρ≥0.6)
On-Off,4.0,1.0,0.73883,2724.94,1929.13,795.81,29.2,High (ρ≥0.6)
On-Off,4.0,1.0,0.739,2727.42,2024.56,702.86,25.77,High (ρ≥0.6)
On-Off,4.0,1.0,0.7444,2805.27,2184.07,621.19,22.14,High (ρ≥0.6)
On-Off,4.0,1.0,0.74678,2840.8,2845.6,4.8,0.17,High (ρ≥0.6)
On-Off,4.0,1.0,0.74917,2877.04,2595.14,281.9,9.8,High (ρ≥0.6)
On-Off,4.0,1.0,0.75536,2974.15,3900.65,926.5,31.15,High (ρ≥0.6)
On-Off,4.0,1.0,0.7597,3045.25,2434.94,610.31,20.04,High (ρ≥0.6)
On-Off,4.0,1.0,0.77764,3368.68,2975.73,392.95,11.66,High (ρ≥0.6)
On-Off,4.0,1.0,0.78203,3456.01,3267.59,188.42,5.45,High (ρ≥0.6)
On-Off,4.0,1.0,0.78251,3465.78,3836.1,370.33,10.69,High (ρ≥0.6)
On-Off,4.0,1.0,0.78616,3541.25,3828.81,287.56,8.12,High (ρ≥0.6)
On-Off,4.0,1.0,0.78863,3593.95,1794.91,1799.04,50.06,High (ρ≥0.6)
On-Off,4.0,1.0,0.78957,3614.23,3229.74,384.49,10.64,High (ρ≥0.6)
On-Off,4.0,1.0,0.7929,3687.83,2221.72,1466.11,39.76,High (ρ≥0.6)
On-Off,4.0,1.0,0.79493,3733.83,3660.18,73.64,1.97,High (ρ≥0.6)
On-Off,4.0,1.0,0.7983,3812.5,1921.34,1891.16,49.6,High (ρ≥0.6)
On-Off,4.0,1.0,0.79994,3851.64,4077.55,225.92,5.87,High (ρ≥0.6)
On-Off,4.0,1.0,0.80318,3930.82,4486.63,555.81,14.14,High (ρ≥0.6)
On-Off,4.0,1.0,0.80515,3980.26,5946.13,1965.87,49.39,High (ρ≥0.6)
On-Off,4.0,1.0,0.81283,4183.16,6140.55,1957.39,46.79,High (ρ≥0.6)
On-Off,4.0,1.0,0.8142,4221.18,4172.19,48.99,1.16,High (ρ≥0.6)
On-Off,4.0,1.0,0.8195,4373.42,3047.76,1325.66,30.31,High (ρ≥0.6)
On-Off,4.0,1.0,0.82069,4408.6,2893.21,1515.39,34.37,High (ρ≥0.6)
On-Off,4.0,1.0,0.82182,4442.76,3069.67,1373.08,30.91,High (ρ≥0.6)
On-Off,4.0,1.0,0.82315,4483.38,4379.48,103.9,2.32,High (ρ≥0.6)
On-Off,4.0,1.0,0.8249,4537.96,2597.21,1940.75,42.77,High (ρ≥0.6)
On-Off,4.0,1.0,0.83067,4725.42,4631.21,94.22,1.99,High (ρ≥0.6)
On-Off,4.0,1.0,0.83091,4733.52,4050.76,682.75,14.42,High (ρ≥0.6)
On-Off,4.0,1.0,0.83706,4948.42,3279.71,1668.71,33.72,High (ρ≥0.6)
On-Off,4.0,1.0,0.84044,5073.82,3630.34,1443.48,28.45,High (ρ≥0.6)
On-Off,4.0,1.0,0.84086,5089.7,2448.9,2640.8,51.89,High (ρ≥0.6)
On-Off,4.0,1.0,0.84168,5120.85,4771.61,349.24,6.82,High (ρ≥0.6)
On-Off,4.0,1.0,0.84429,5223.08,3509.12,1713.96,32.82,High (ρ≥0.6)
On-Off,4.0,1.0,0.84465,5237.25,4429.34,807.91,15.43,High (ρ≥0.6)
On-Off,4.0,1.0,0.84972,5446.32,4216.46,1229.86,22.58,High (ρ≥0.6)
On-Off,4.0,1.0,0.8514,5519.12,5107.76,411.36,7.45,High (ρ≥0.6)
On-Off,4.0,1.0,0.85261,5571.92,3670.8,1901.12,34.12,High (ρ≥0.6)
On-Off,4.0,1.0,0.85438,5651.38,5316.3,335.07,5.93,High (ρ≥0.6)
